,EventTime,Origin,Destination
201,2007.990426,CentroOesteBR,Europa
202,2017.038346,CentroOesteBR,Europa
203,2012.038236,CentroOesteBR,NordesteBR
204,2003.2116460000002,CentroOesteBR,Europa
205,2014.038356,Europa,CentroOesteBR
206,2007.7578460000002,Europa,Bahia
207,2015.038346,Bahia,SudesteBR
209,2016.038236,Europa,CentroOesteBR
213,2005.466586,CentroOesteBR,Europa
219,2015.038346,SudesteBR,OtherLocations
220,2017.038336,SudesteBR,CentroOesteBR
221,1989.567526,SudesteBR,SulBR
222,1995.0033760000001,SudesteBR,OtherLocations
223,1981.2065960000002,SudesteBR,NordesteBR
224,2014.038336,NordesteBR,NorteBR
225,2006.038336,NordesteBR,SudesteBR
226,2016.038236,NordesteBR,SudesteBR
227,2011.038346,SudesteBR,OtherLocations
228,2011.038346,SudesteBR,CentroOesteBR
229,2016.038236,SudesteBR,NordesteBR
230,2017.038346,SudesteBR,NordesteBR
231,2015.038346,SudesteBR,CentroOesteBR
232,1987.5523660000001,SudesteBR,NorteBR
233,2017.038356,SudesteBR,NordesteBR
234,1973.407946,SudesteBR,NordesteBR
235,2005.2802960000001,NordesteBR,Europa
236,2013.038346,NordesteBR,NorteBR
237,1998.038346,NordesteBR,SudesteBR
238,2010.789256,NordesteBR,SudesteBR
239,2016.038236,NordesteBR,SudesteBR
240,2015.038336,SudesteBR,NordesteBR
241,2001.2548760000002,SudesteBR,CentroOesteBR
242,2009.1003560000001,CentroOesteBR,SudesteBR
243,2015.038336,SudesteBR,NorteBR
244,2007.2212060000002,SudesteBR,OtherLocations
245,1996.830686,SudesteBR,Europa
246,2015.038346,SudesteBR,CentroOesteBR
247,2016.0382260000001,SudesteBR,CentroOesteBR
248,2001.038336,SudesteBR,SulBR
249,2015.038326,SudesteBR,NordesteBR
250,2016.0382160000001,SudesteBR,NorteBR
251,1993.4905860000001,SudesteBR,CentroOesteBR
252,2015.038326,SudesteBR,NordesteBR
253,2012.0382160000001,SudesteBR,SulBR
254,2017.038326,SudesteBR,NorteBR
255,1966.544086,SudesteBR,OtherLocations
256,1998.038346,OtherLocations,SulBR
257,2017.038336,OtherLocations,SudesteBR
258,1987.5259460000002,OtherLocations,CentroOesteBR
259,2015.038336,CentroOesteBR,SudesteBR
260,1981.3224160000002,OtherLocations,Bahia
261,2004.753506,Bahia,NordesteBR
262,2002.558416,OtherLocations,Bahia
264,2016.0382260000001,OtherLocations,SudesteBR
265,2000.272036,OtherLocations,NorteBR
266,1971.053856,OtherLocations,NorteBR
267,2006.6015260000001,NorteBR,OtherLocations
268,2014.038346,NorteBR,Europa
269,2017.038336,NorteBR,OtherLocations
270,2001.533556,NorteBR,SudesteBR
271,2002.519626,NorteBR,OtherLocations
272,2015.038336,OtherLocations,CentroOesteBR
273,2016.038236,NorteBR,NordesteBR
274,2007.9150160000002,NorteBR,SudesteBR
275,2015.038336,NorteBR,SudesteBR
276,1979.644506,NorteBR,Bahia
277,1998.038336,Bahia,SudesteBR
278,1998.038346,NorteBR,Europa
279,2015.038356,NorteBR,SudesteBR
280,2016.038236,NorteBR,NordesteBR
281,2003.038336,NorteBR,OtherLocations
282,2016.0382260000001,NorteBR,CentroOesteBR
283,2016.038236,NorteBR,SulBR
284,2002.537376,NorteBR,SudesteBR
285,1977.6408860000001,NorteBR,Bahia
286,2015.038336,Bahia,NordesteBR
287,1987.483496,Bahia,NordesteBR
288,2006.038336,NordesteBR,SudesteBR
289,2005.433526,NordesteBR,SudesteBR
290,2006.038346,NordesteBR,SudesteBR
291,2017.038346,NordesteBR,SudesteBR
292,2002.082916,NordesteBR,NorteBR
293,2015.038356,NorteBR,SudesteBR
294,1984.151986,Bahia,SudesteBR
295,2010.038336,SudesteBR,CentroOesteBR
296,1981.052216,Bahia,SudesteBR
297,2016.038236,SudesteBR,NordesteBR
298,2007.038336,Bahia,Europa
299,1985.944236,Bahia,SudesteBR
300,2017.038326,Bahia,SudesteBR
301,2011.866256,Bahia,SulBR
302,2017.038326,Bahia,SudesteBR
303,2017.038346,OtherLocations,SudesteBR
304,2003.038346,OtherLocations,SudesteBR
305,1998.038346,OtherLocations,SudesteBR
306,1995.3903460000001,OtherLocations,Europa
307,2016.038236,OtherLocations,SulBR
308,2004.038246,OtherLocations,Europa
309,2017.038346,OtherLocations,NorteBR
310,1986.0156860000002,OtherLocations,SudesteBR
311,1989.2422860000001,OtherLocations,SulBR
312,1974.984756,OtherLocations,SudesteBR
313,2005.038326,SudesteBR,SulBR
314,1995.879496,SudesteBR,NordesteBR
315,2004.774826,SudesteBR,NordesteBR
316,2011.038346,SudesteBR,OtherLocations
317,2016.0382260000001,SudesteBR,Bahia
318,2011.038326,SudesteBR,CentroOesteBR
319,2006.038356,OtherLocations,SudesteBR
320,1998.038356,OtherLocations,SudesteBR
321,2003.038356,OtherLocations,Europa
322,2003.038356,OtherLocations,Europa
323,2016.038246,OtherLocations,SulBR
324,2014.038356,OtherLocations,SudesteBR
325,1981.208016,OtherLocations,Europa
326,1974.839206,OtherLocations,SudesteBR
327,2012.038236,SudesteBR,Bahia
328,2017.038346,SudesteBR,SulBR
329,2017.038346,SudesteBR,CentroOesteBR
330,2016.038236,SudesteBR,Europa
331,2003.038356,SudesteBR,OtherLocations
332,2017.038346,SudesteBR,NordesteBR
333,2015.0383660000002,SudesteBR,NorteBR
334,2013.038346,SudesteBR,Europa
335,1990.3651960000002,OtherLocations,SulBR
336,2012.038236,SulBR,SudesteBR
337,1998.038346,OtherLocations,SulBR
338,2004.038236,OtherLocations,Europa
340,2017.038346,OtherLocations,SudesteBR
341,2017.038346,OtherLocations,NordesteBR
343,2014.038346,OtherLocations,SudesteBR
344,2017.038346,OtherLocations,SudesteBR
345,1996.3765760000001,OtherLocations,CentroOesteBR
346,2010.038346,OtherLocations,Europa
347,2007.038336,OtherLocations,Europa
348,2008.038236,OtherLocations,Europa
349,2012.038236,OtherLocations,SudesteBR
350,1981.1455660000001,OtherLocations,SudesteBR
352,1997.038336,OtherLocations,Europa
353,1986.0418160000002,OtherLocations,CentroOesteBR
354,2016.0382260000001,CentroOesteBR,NordesteBR
355,1999.9886060000001,CentroOesteBR,NorteBR
356,2017.038326,NorteBR,OtherLocations
357,2016.0382160000001,NorteBR,SudesteBR
358,1992.3812360000002,OtherLocations,Europa
359,2016.038236,Europa,OtherLocations
360,1972.911446,OtherLocations,SudesteBR
361,2017.038346,SudesteBR,NordesteBR
362,2007.038346,SudesteBR,OtherLocations
363,2017.038346,SudesteBR,NordesteBR
364,2010.038346,SudesteBR,OtherLocations
365,1982.456926,OtherLocations,Bahia
366,1998.038346,OtherLocations,Europa
367,1987.3902260000002,OtherLocations,Europa
369,2017.038346,Europa,SudesteBR
370,1975.223076,OtherLocations,Bahia
371,2014.038346,Bahia,SudesteBR
372,2017.038346,Bahia,SulBR
373,2016.038246,Bahia,SudesteBR
374,2007.038346,Bahia,CentroOesteBR
375,2014.038346,Bahia,SudesteBR
376,2013.038336,Bahia,Europa
377,2017.038336,OtherLocations,SudesteBR
378,1989.8388360000001,OtherLocations,SulBR
379,1976.555026,OtherLocations,SudesteBR
380,2000.0382260000001,SudesteBR,Europa
381,2015.038346,OtherLocations,NordesteBR
383,2001.038346,OtherLocations,SulBR
384,2015.038346,OtherLocations,SudesteBR
386,2007.038346,OtherLocations,Europa
387,1975.115726,OtherLocations,NordesteBR
388,1993.038346,OtherLocations,Europa
390,2017.038336,OtherLocations,SudesteBR
391,1978.0722360000002,OtherLocations,SudesteBR
392,2012.2969560000001,SudesteBR,CentroOesteBR
393,2016.0382260000001,CentroOesteBR,NorteBR
394,1993.038336,OtherLocations,Europa
395,2004.0382260000001,OtherLocations,Europa
396,2016.0382260000001,OtherLocations,SudesteBR
397,1977.1596060000002,OtherLocations,SudesteBR
398,2015.038326,SudesteBR,Bahia
399,1990.4206960000001,SudesteBR,Europa
400,2015.038346,Europa,SudesteBR
401,1977.8117060000002,SudesteBR,SulBR
402,2015.038336,SulBR,SudesteBR
403,1990.463056,SudesteBR,CentroOesteBR
404,1968.473506,SudesteBR,SulBR
405,2017.038346,SulBR,SudesteBR
406,2008.038236,SulBR,CentroOesteBR
407,2017.038346,SulBR,SudesteBR
408,2017.038356,SulBR,SudesteBR
409,2016.038246,SulBR,SudesteBR
410,1983.669446,SulBR,SudesteBR
411,2019.038346,SudesteBR,Europa
412,2011.038336,SudesteBR,OtherLocations
413,1974.591106,SudesteBR,SulBR
414,2000.038246,SulBR,OtherLocations
415,1998.038356,SulBR,SudesteBR
416,2016.038236,SudesteBR,CentroOesteBR
417,2000.434416,SudesteBR,SulBR
418,2009.038346,SudesteBR,CentroOesteBR
419,1985.477746,SudesteBR,NorteBR
420,2014.038346,NorteBR,OtherLocations
421,2017.038326,SudesteBR,NordesteBR
422,2017.038326,SudesteBR,Bahia
423,2015.038326,SudesteBR,CentroOesteBR
424,2016.038236,SudesteBR,CentroOesteBR
425,1994.180626,SudesteBR,OtherLocations
426,2015.038346,SudesteBR,CentroOesteBR
